#Gen	m	ibd	hibd	ko	ke	s2	thke	Nke	Nbke	lethal	hoDel	he	hoDom	Nobs
147	0	0.0045	0.0265	187	97.5348	118.291	96.5348	201106	29894.2	0	0	4	1996	10000
147	1	0.004	0.028	211	102.667	118.291	101.667	211797	31483.4	0	0	0	2000	10000
148	0	0.01	0.031	188	96.9485	162.609	95.9485	199884	40844.5	1	0	6	1994	10000
148	1	0.007	0.025	211	104.882	162.609	103.882	216412	44221.8	1	0	0	2000	10000
149	0	0.009	0.0295	185	95.6023	130.814	94.6023	197080	32397.2	1	0	4	1996	10000
149	1	0.0085	0.0235	209	104.21	130.814	103.21	215012	35344.9	1	0	0	2000	10000
150	0	0.006	0.0275	192	96.1596	133.713	95.1596	198241	33310	0	0	1	1999	10000
150	1	0.007	0.024	213	107.144	133.713	106.144	221124	37155	0	0	0	2000	10000
151	0	0.0065	0.033	192	93.587	136.526	92.587	192881	33091.4	0	0	4	1996	10000
151	1	0.005	0.0215	212	107.396	136.526	106.396	221648	38026.8	0	0	0	2000	10000
152	0	0.0055	0.0335	188	91.4693	143.454	90.4693	188470	33975.3	0	0	4	1996	10000
152	1	0.0065	0.0255	211	106.529	143.454	105.529	219843	39630.8	0	0	0	2000	10000
153	0	0.0095	0.0375	192	91.2169	150.081	90.2169	187944	35445.7	0	1	5	1994	10000
153	1	0.0105	0.026	211	110.773	150.081	109.773	228683	43129	0	0	0	2000	10000
154	0	0.005	0.031	187	88.5573	149.287	87.5573	182403	34218.7	0	0	6	1994	10000
154	1	0.0085	0.0255	207	110.131	149.287	109.131	227346	42649.9	0	0	0	2000	10000
155	0	0.0065	0.0255	182	86.3381	135.051	85.3381	177780	30171.1	0	0	9	1991	10000
155	1	0.008	0.025	203	105.271	135.051	104.271	217223	36865	0	0	0	2000	10000
156	0	0.0095	0.031	180	84.623	131.731	83.623	174207	28837.9	0	0	7	1993	10000
156	1	0.009	0.0385	198	103.138	131.731	102.138	212778	35222.9	0	0	0	2000	10000
157	0	0.0095	0.0315	175	86.8847	141.751	85.8847	178919	31870.9	0	0	9	1991	10000
157	1	0.006	0.028	195	103.338	141.751	102.338	213195	37976.4	0	0	0	2000	10000
158	0	0.0085	0.036	178	87.8879	155.768	86.8879	181009	35431.4	0	0	15	1985	10000
158	1	0.009	0.0295	194	102.355	155.768	101.355	211148	41331	0	0	0	2000	10000
159	0	0.0085	0.032	176	86.1466	140.095	85.1466	177381	31227.7	2	0	17	1983	10000
159	1	0.0105	0.026	192	102.086	140.095	101.086	210588	37073.7	2	0	0	2000	10000
160	0	0.0065	0.035	178	83.8785	141.958	82.8785	172656	30800.2	1	0	9	1991	10000
160	1	0.0085	0.0225	196	102.85	141.958	101.85	212179	37850.6	1	0	0	2000	10000
161	0	0.011	0.0355	173	85.6678	146.21	84.6678	176384	32407.6	0	0	7	1993	10000
161	1	0.008	0.026	194	105.647	146.21	104.647	218005	40054.8	0	0	0	2000	10000
162	0	0.01	0.032	178	86.4734	121.743	85.4734	178062	27241.2	0	0	4	1996	10000
162	1	0.0095	0.0255	197	108.889	121.743	107.889	224760	34385.5	0	0	0	2000	10000
163	0	0.0065	0.0345	177	83.0005	120.416	82.0005	170827	25849.4	0	0	4	1996	10000
163	1	0.0095	0.0255	193	105.339	120.416	104.339	217364	32891.5	0	0	0	2000	10000
164	0	0.0075	0.0315	173	87.9295	149.803	86.9295	181095	34090.7	1	0	3	1997	10000
164	1	0.007	0.023	193	105.292	149.803	104.292	217266	40899.8	1	0	0	2000	10000
165	0	0.0105	0.0345	173	83.2163	147.696	82.2163	171277	31789.1	2	0	4	1996	10000
165	1	0.0085	0.028	191	101.926	147.696	100.926	210254	39023.4	2	0	0	2000	10000
166	0	0.008	0.0365	173	82.8612	149.804	81.8612	170537	32103.4	1	0	1	1999	10000
166	1	0.0095	0.033	193	99.1695	149.804	98.1695	204511	38498.9	1	0	0	2000	10000
167	0	0.0085	0.0305	170	80.0849	118.879	79.0849	164753	24612.2	0	0	5	1995	10000
167	1	0.0075	0.0265	197	101.133	118.879	100.133	208601	31162.5	0	0	0	2000	10000
168	0	0.008	0.0325	171	79.5529	140.081	78.5529	163645	28806.6	0	0	5	1995	10000
168	1	0.007	0.026	192	101.724	140.081	100.724	209833	36937.2	0	0	0	2000	10000
169	0	0.013	0.036	174	79.3611	143.044	78.3611	163245	29344	0	0	11	1989	10000
169	1	0.0115	0.0265	191	98.5877	143.044	97.5877	203299	36543.8	0	0	0	2000	10000
170	0	0.006	0.0255	172	80.5615	152.091	79.5615	165746	31677.9	0	0	11	1989	10000
170	1	0.006	0.0325	192	97.0933	152.091	96.0933	200186	38260.1	0	0	0	2000	10000
171	0	0.007	0.029	170	79.8594	136.899	78.8594	164284	28262	0	0	15	1985	10000
171	1	0.0065	0.027	197	96.5135	136.899	95.5135	198978	34230.5	0	0	0	2000	10000
172	0	0.0075	0.0265	168	83.4385	144.433	82.4385	171740	31170.7	1	1	21	1978	10000
172	1	0.01	0.033	193	98.3405	144.433	97.3405	202784	36805.3	1	0	0	2000	10000
173	0	0.01	0.0355	174	80.6655	143.827	79.6655	165963	29995.8	2	0	15	1985	10000
173	1	0.007	0.0235	192	95.2778	143.827	94.2778	196404	35497.7	2	0	0	2000	10000
174	0	0.0065	0.0295	175	78.3407	136.355	77.3407	161120	27607.6	1	0	6	1994	10000
174	1	0.004	0.0215	190	94.9803	136.355	93.9803	195784	33547.3	1	0	0	2000	10000
175	0	0.0085	0.03	172	77.4766	129.098	76.4766	159319	25846.3	1	0	7	1993	10000
175	1	0.0085	0.024	193	99.1695	129.098	98.1695	204511	33177.7	1	0	0	2000	10000
176	0	0.01	0.029	176	80.4845	148.31	79.4845	165586	30860.5	0	0	8	1992	10000
176	1	0.0115	0.0325	192	100.252	148.31	99.2519	206766	38535.4	0	0	0	2000	10000
177	0	0.007	0.036	167	77.3799	143.87	76.3799	159118	28767.4	3	0	5	1995	10000
177	1	0.0065	0.03	187	96.6429	143.87	95.6429	199248	36022.5	3	0	0	2000	10000
178	0	0.01	0.0375	166	78.2327	145.659	77.2327	160895	29450.1	3	0	8	1992	10000
178	1	0.0075	0.0205	187	97.9312	145.659	96.9312	201931	36961.5	3	0	0	2000	10000
179	0	0.0055	0.026	173	79.1437	165.29	78.1437	162792	33813.5	3	1	13	1986	10000
179	1	0.008	0.0265	185	94.5325	165.29	93.5325	194851	40472.4	3	0	0	2000	10000
180	0	0.0055	0.0345	170	78.1296	126.627	77.1296	160680	25568.1	1	0	13	1987	10000
180	1	0.0075	0.028	189	94.1675	126.627	93.1675	194091	30884.6	1	0	0	2000	10000
181	0	0.0065	0.033	167	77.3343	135.869	76.3343	159023	27151.2	3	0	12	1988	10000
181	1	0.006	0.026	181	92.6848	135.869	91.6848	191002	32611.3	3	0	0	2000	10000
182	0	0.0035	0.026	160	79.7194	136.711	78.7194	163992	28173.1	5	0	11	1989	10000
182	1	0.007	0.034	182	90.9277	136.711	89.9277	187341	32184.4	5	0	0	2000	10000
183	0	0.0125	0.03	160	79.53	141.911	78.53	163597	29174.3	2	0	9	1991	10000
183	1	0.0095	0.0255	179	90.7709	141.911	89.7709	187015	33350.3	2	0	0	2000	10000
184	0	0.0095	0.039	166	81.5752	116.204	80.5752	167858	24511.6	5	0	8	1992	10000
184	1	0.007	0.027	182	88.1455	116.204	87.1455	181545	26510.3	5	0	0	2000	10000
185	0	0.0075	0.036	169	76.6901	118.459	75.6901	157681	23472.4	1	0	7	1993	10000
185	1	0.0065	0.029	179	87.1517	118.459	86.1517	179475	26716.6	1	0	0	2000	10000
186	0	0.008	0.0325	163	77.8839	129.54	76.8839	160168	26072.9	6	0	4	1996	10000
186	1	0.008	0.0335	178	87.5446	129.54	86.5446	180294	29349	6	0	0	2000	10000
187	0	0.0105	0.0395	158	80.1868	136.729	79.1868	164966	28344.2	5	0	5	1995	10000
187	1	0.013	0.028	176	87.7318	136.729	86.7318	180684	31044.9	5	0	0	2000	10000
188	0	0.0075	0.033	159	80.7567	149.204	79.7567	166153	31152.8	0	0	3	1997	10000
188	1	0.0075	0.031	171	86.1234	149.204	85.1234	177333	33249.1	0	0	0	2000	10000
189	0	0.0055	0.032	158	78.4368	144.449	77.4368	161320	29282.7	1	0	6	1994	10000
189	1	0.006	0.0305	174	84.6203	144.449	83.6203	174201	31621	1	0	0	2000	10000
190	0	0.011	0.033	155	76.6798	139.865	75.6798	157659	27710.1	3	0	1	1999	10000
190	1	0.0105	0.033	172	85.8636	139.865	84.8636	176792	31072.8	3	0	0	2000	10000
191	0	0.0075	0.0255	159	78.8232	125.59	77.8232	162125	25586.6	3	0	3	1997	10000
191	1	0.0075	0.029	172	85.0069	125.59	84.0069	175007	27619.7	3	0	0	2000	10000
192	0	0.011	0.0355	151	78.2626	127.742	77.2626	160957	25837.6	2	0	4	1996	10000
192	1	0.01	0.0255	174	88.4829	127.742	87.4829	182248	29255.4	2	0	0	2000	10000
193	0	0.0105	0.0255	156	77.8551	140.61	76.8551	160108	28290.4	3	0	3	1997	10000
193	1	0.008	0.026	174	88.5622	140.61	87.5622	182413	32231.7	3	0	0	2000	10000
194	0	0.0075	0.0345	153	74.3232	117.483	73.3232	152750	22550.9	3	0	1	1999	10000
194	1	0.006	0.0265	174	93.9839	117.483	92.9839	193708	28597.7	3	0	0	2000	10000
195	0	0.0115	0.037	153	74.0658	136.392	73.0658	152214	26088.7	3	0	2	1998	10000
195	1	0.0115	0.028	174	91.1608	136.392	90.1608	187827	32192.6	3	0	0	2000	10000
196	0	0.0105	0.0335	146	71.4069	142.619	70.4069	146675	26287	1	0	6	1994	10000
196	1	0.0075	0.031	173	91.7684	142.619	90.7684	189093	33889.1	1	0	0	2000	10000
197	0	0.01	0.0355	148	72.1202	132.223	71.1202	148161	24617.8	3	0	2	1998	10000
197	1	0.0115	0.0375	176	91.6181	132.223	90.6181	188780	31366.8	3	0	0	2000	10000
198	0	0.006	0.025	153	73.501	143.597	72.501	151037	27254.6	2	0	3	1997	10000
198	1	0.01	0.0265	174	94.697	143.597	93.697	195194	35222.6	2	0	0	2000	10000
199	0	0.008	0.03	153	70.794	135.426	69.794	145398	24744.1	0	0	10	1990	10000
199	1	0.0095	0.03	174	92.1744	135.426	91.1744	189939	32324.1	0	0	0	2000	10000
200	0	0.008	0.027	154	71.2943	128.608	70.2943	146440	23666.8	0	0	7	1993	10000
200	1	0.0065	0.0325	169	87.7049	128.608	86.7049	180627	29192	0	0	0	2000	10000
201	0	0.009	0.0295	154	73.1108	131.567	72.1108	150224	24836.9	1	0	11	1989	10000
201	1	0.006	0.0285	168	88.9472	131.567	87.9472	183216	30291.4	1	0	0	2000	10000
202	0	0.008	0.039	148	70.961	136.598	69.961	145746	25017.9	0	0	7	1993	10000
202	1	0.007	0.031	166	87.6482	136.598	86.6482	180509	30985.2	0	0	0	2000	10000
203	0	0.005	0.0335	149	72.867	160.607	71.867	149717	30216.5	7	0	11	1989	10000
203	1	0.0075	0.029	164	87.1631	160.607	86.1631	179499	36227.3	7	0	0	2000	10000
204	0	0.0075	0.0285	150	74.0056	144.779	73.0056	152088	27670.1	0	0	13	1987	10000
204	1	0.008	0.0255	162	85.5158	144.779	84.5158	176067	32032.6	0	0	0	2000	10000
205	0	0.0075	0.0235	147	74.3398	134.637	73.3398	152785	25849.6	0	2	27	1971	10000
205	1	0.0095	0.0245	159	83.5247	134.637	82.5247	171919	29087	0	0	0	2000	10000
206	0	0.0065	0.0275	147	72.3432	144.281	71.3432	148625	26947	1	0	23	1977	10000
206	1	0.006	0.031	162	82.3706	144.281	81.3706	169515	30734.5	1	0	0	2000	10000
207	0	0.0085	0.0325	149	74.142	143.871	73.142	152373	27548.1	0	0	21	1979	10000
207	1	0.006	0.0295	163	79.2487	143.871	78.2487	163011	29471.4	0	0	0	2000	10000
208	0	0.01	0.0345	148	72.8604	148.507	71.8604	149703	27937.5	2	0	21	1979	10000
208	1	0.01	0.038	158	75.6551	148.507	74.6551	155525	29024	2	0	0	2000	10000
209	0	0.006	0.0415	151	73.046	148.915	72.046	150089	28086.5	2	0	24	1976	10000
209	1	0.0085	0.031	161	77.3762	148.915	76.3762	159110	29774.5	2	0	0	2000	10000
210	0	0.01	0.034	147	73.5051	135.718	72.5051	151046	25760.7	0	0	19	1981	10000
210	1	0.0065	0.03	163	78.3162	135.718	77.3162	161069	27470	0	0	0	2000	10000
211	0	0.007	0.034	145	76.5104	143.966	75.5104	157307	28458.8	0	0	36	1964	10000
211	1	0.0095	0.035	159	78.6914	143.966	77.6914	161850	29280.8	0	0	0	2000	10000
212	0	0.011	0.032	145	72.4487	120.94	71.4487	148845	22621.1	3	0	33	1967	10000
212	1	0.0105	0.0355	156	75.6272	120.94	74.6272	155467	23627.4	3	0	0	2000	10000
213	0	0.0095	0.041	147	72.82	139.279	71.82	149619	26186.7	1	1	32	1967	10000
213	1	0.0095	0.0325	157	77.6744	139.279	76.6744	159732	27956.7	1	0	0	2000	10000
214	0	0.01	0.0335	145	73.8028	128.733	72.8028	151666	24535.1	5	0	30	1970	10000
214	1	0.0085	0.0275	160	78.6419	128.733	77.6419	161747	26165.9	5	0	0	2000	10000
215	0	0.006	0.027	141	73.3064	126.218	72.3064	150632	23891.7	1	1	19	1980	10000
215	1	0.008	0.0345	162	75.0342	126.218	74.0342	154231	24462.6	1	0	0	2000	10000
216	0	0.0115	0.0295	140	74.4539	153.861	73.4539	153023	29586.4	3	0	14	1986	10000
216	1	0.012	0.0395	163	78.2327	153.861	77.2327	160895	31108.5	3	0	0	2000	10000
217	0	0.0085	0.0325	141	73.6743	137.25	72.6743	151398	26112.1	1	0	12	1988	10000
217	1	0.0095	0.033	161	81.0455	137.25	80.0455	166754	28760.6	1	0	0	2000	10000
218	0	0.008	0.028	143	73.996	134.598	72.996	152068	25720.9	1	0	18	1982	10000
218	1	0.013	0.0265	160	80.9979	134.598	79.9979	166655	28188.1	1	0	0	2000	10000
219	0	0.0135	0.0365	144	74.2825	138.929	73.2825	152665	26652.8	0	0	17	1983	10000
219	1	0.0095	0.0275	161	82.1828	138.929	81.1828	169124	29526.1	0	0	0	2000	10000
220	0	0.01	0.0295	142	72.0604	118.616	71.0604	148036	22065.9	1	0	15	1985	10000
220	1	0.008	0.035	164	82.9187	118.616	81.9187	170657	25437.7	1	0	0	2000	10000
221	0	0.0065	0.026	141	70.2204	144.845	69.2204	144203	26247.5	0	0	8	1992	10000
221	1	0.0075	0.0265	164	84.77	144.845	83.77	174513	31764.6	0	0	0	2000	10000
222	0	0.0065	0.0295	145	69.3181	146.536	68.3181	142323	26207.8	1	0	13	1987	10000
222	1	0.0045	0.031	164	84.1468	146.536	83.1468	173215	31896.3	1	0	0	2000	10000
223	0	0.003	0.028	142	69.1994	137.827	68.1994	142076	24607.3	1	0	16	1984	10000
223	1	0.0065	0.0315	157	83.4063	137.827	82.4063	171673	29733.3	1	0	0	2000	10000
224	0	0.006	0.0335	143	68.4885	134.752	67.4885	140595	23807.6	0	1	11	1988	10000
224	1	0.0085	0.0365	155	81.606	134.752	80.606	167922	28435	0	0	0	2000	10000
225	0	0.007	0.0335	144	70.6252	134.239	69.6252	145046	24467.7	1	0	15	1985	10000
225	1	0.009	0.03	154	79.2448	134.239	78.2448	163003	27496.8	1	0	0	2000	10000
226	0	0.0045	0.03	142	69.8525	140.078	68.8525	143437	25248.8	0	0	16	1984	10000
226	1	0.007	0.0305	156	77.5705	140.078	76.5705	159515	28079	0	0	0	2000	10000
227	0	0.0115	0.0255	142	71.4037	136.019	70.4037	146668	25069.6	1	0	15	1985	10000
227	1	0.0085	0.034	155	79.2275	136.019	78.2275	162967	27855.5	1	0	0	2000	10000
228	0	0.0075	0.0315	141	70.157	139.625	69.157	144071	25278.4	1	0	24	1976	10000
228	1	0.0085	0.026	157	78.297	139.625	77.297	161029	28253.8	1	0	0	2000	10000
229	0	0.0065	0.033	140	68.8948	116.521	67.8948	141442	20710.5	0	0	17	1983	10000
229	1	0.007	0.029	157	78.7045	116.521	77.7045	161878	23702.8	0	0	0	2000	10000
230	0	0.007	0.029	141	71.5711	150.311	70.5711	147017	27769.4	0	0	13	1987	10000
230	1	0.008	0.0255	158	80.4926	150.311	79.4926	165603	31280	0	0	0	2000	10000
231	0	0.0095	0.03	138	70.1736	143.261	69.1736	144106	25942.9	1	0	10	1990	10000
231	1	0.0095	0.032	159	78.9305	143.261	77.9305	162348	29227	1	0	0	2000	10000
232	0	0.0085	0.0355	139	68.2495	122.791	67.2495	140097	21617.6	1	0	9	1991	10000
232	1	0.009	0.0305	156	76.9305	122.791	75.9305	158182	24408.1	1	0	0	2000	10000
233	0	0.008	0.033	139	67.0399	144.969	66.0399	137577	25062.9	1	0	14	1986	10000
233	1	0.0085	0.035	159	76.0044	144.969	75.0044	156253	28465.1	1	0	0	2000	10000
234	0	0.004	0.03	137	66.2658	136.429	65.2658	135965	23309.9	0	0	18	1982	10000
234	1	0.003	0.0335	155	73.3407	136.429	72.3407	150703	25836.7	0	0	0	2000	10000
235	0	0.008	0.026	135	67.0651	139.603	66.0651	137630	24144.4	2	1	19	1980	10000
235	1	0.011	0.043	154	75.2078	139.603	74.2078	154593	27120.2	2	0	0	2000	10000
236	0	0.009	0.033	136	68.7356	140.923	67.7356	141110	24989.1	4	0	30	1970	10000
236	1	0.0085	0.037	154	75.726	140.923	74.726	155673	27568	4	0	0	2000	10000
237	0	0.0065	0.0355	134	66.8019	156.624	65.8019	137082	26980.3	0	0	31	1969	10000
237	1	0.006	0.0315	152	74.2322	156.624	73.2322	152561	30026.9	0	0	0	2000	10000
238	0	0.0115	0.0355	130	67.9544	138.47	66.9544	139482	24270.8	0	0	25	1975	10000
238	1	0.01	0.027	153	76.7511	138.47	75.7511	157808	27459.6	0	0	0	2000	10000
239	0	0.0095	0.0325	135	69.4613	143.428	68.4613	142622	25705.6	1	0	22	1978	10000
239	1	0.0115	0.0385	153	76.6548	143.428	75.6548	157607	28406.6	1	0	0	2000	10000
240	0	0.0095	0.036	133	71.0486	165.361	70.0486	145928	30323.7	0	0	31	1969	10000
240	1	0.0085	0.035	151	76.5616	165.361	75.5616	157413	32710.3	0	0	0	2000	10000
241	0	0.009	0.032	133	69.5622	126.516	68.5622	142832	22708.1	0	0	26	1974	10000
241	1	0.007	0.0355	152	76.4416	126.516	75.4416	157163	24986.7	0	0	0	2000	10000
242	0	0.0085	0.031	137	69.8062	136.486	68.8062	143340	24584.8	0	0	22	1978	10000
242	1	0.0085	0.029	147	76.5294	136.486	75.5294	157346	26987	0	0	0	2000	10000
243	0	0.006	0.033	135	66.5048	140.399	65.5048	136463	24076.2	1	1	15	1984	10000
243	1	0.0085	0.0335	150	74.905	140.399	73.905	153962	27163.6	1	0	0	2000	10000
244	0	0.006	0.0335	131	66.7217	141.226	65.7217	136914	24298.1	0	0	16	1984	10000
244	1	0.007	0.026	148	74.7489	141.226	73.7489	153637	27265.9	0	0	0	2000	10000
245	0	0.0105	0.035	130	67.7955	120.239	66.7955	139151	21025.2	0	0	15	1985	10000
245	1	0.0085	0.0285	148	74.558	120.239	73.558	153239	23153.9	0	0	0	2000	10000
246	0	0.014	0.04	130	69.3577	135.304	68.3577	142406	24213	0	0	13	1987	10000
246	1	0.0125	0.0315	152	76.0442	135.304	75.0442	156335	26581.4	0	0	0	2000	10000
247	0	0.009	0.035	129	67.9954	151.78	66.9954	139568	26620.1	0	0	13	1987	10000
247	1	0.007	0.0375	154	75.4454	151.78	74.4454	155088	29580.3	0	0	0	2000	10000
248	0	0.0085	0.024	132	69.9778	155.114	68.9778	143698	28009.8	0	0	10	1990	10000
248	1	0.008	0.027	149	76.3927	155.114	75.3927	157062	30614.7	0	0	0	2000	10000
249	0	0.0045	0.0315	137	68.3661	152.248	67.3661	140340	26850	1	0	14	1986	10000
249	1	0.0065	0.0315	150	76.0102	152.248	75.0102	156265	29896.7	1	0	0	2000	10000
250	0	0.0095	0.0365	134	66.8159	141.87	65.8159	137111	24444	0	0	23	1977	10000
250	1	0.009	0.0385	153	75.9193	141.87	74.9193	156075	27825	0	0	0	2000	10000
251	0	0.0105	0.035	130	65.8501	109.928	64.8501	135099	18662.5	1	0	20	1980	10000
251	1	0.0115	0.0345	148	74.7217	109.928	73.7217	153580	21215.5	1	0	0	2000	10000
252	0	0.011	0.0335	129	65.6076	133.655	64.6076	134594	22605.7	0	0	24	1976	10000
252	1	0.0075	0.0325	152	73.4032	133.655	72.4032	150834	25333.3	0	0	0	2000	10000
253	0	0.0095	0.0345	127	63.5304	145.108	62.5304	130266	23753.7	0	2	32	1966	10000
253	1	0.008	0.0325	151	72.9082	145.108	71.9082	149802	27316.1	0	0	0	2000	10000
254	0	0.011	0.031	129	64.0985	146.326	63.0985	131450	24170.8	2	2	43	1955	10000
254	1	0.0075	0.033	147	70.0906	146.326	69.0906	143933	26466.1	2	0	0	2000	10000
255	0	0.005	0.036	127	62.235	141.309	61.235	127568	22652.7	0	2	35	1963	10000
255	1	0.007	0.0345	143	67.5499	141.309	66.5499	138640	24618.8	0	0	0	2000	10000
256	0	0.0075	0.0375	126	63.1039	133.423	62.1039	129378	21691.9	1	0	32	1968	10000
256	1	0.006	0.029	144	68.207	133.423	67.207	140009	23474.4	1	0	0	2000	10000
257	0	0.0085	0.039	126	63.2861	149.04	62.2861	129757	24302.1	1	0	30	1970	10000
257	1	0.0105	0.0345	142	67.7191	149.04	66.7191	138992	26031.7	1	0	0	2000	10000
258	0	0.0055	0.035	128	63.1946	142.286	62.1946	129567	23166.8	2	0	35	1965	10000
258	1	0.0065	0.0275	143	70.3785	142.286	69.3785	144532	25842.7	2	0	0	2000	10000
259	0	0.01	0.0405	130	62.4376	154.049	61.4376	127989	24776.7	3	2	31	1967	10000
259	1	0.01	0.034	141	68.1518	154.049	67.1518	139894	27081.2	3	0	0	2000	10000
260	0	0.007	0.0325	128	60.3678	163.014	59.3678	123678	25335.3	1	0	23	1977	10000
260	1	0.008	0.0335	143	69.4246	163.014	68.4246	142545	29200.3	1	0	0	2000	10000
261	0	0.007	0.0325	123	60.5263	147.862	59.5263	124008	23041.8	1	0	24	1976	10000
261	1	0.008	0.0275	145	73.2762	147.862	72.2762	150569	27977.1	1	0	0	2000	10000
262	0	0.0075	0.0365	124	60.0605	109.623	59.0605	123038	16949.1	1	0	33	1967	10000
262	1	0.01	0.034	143	73.181	109.623	72.181	150371	20714.4	1	0	0	2000	10000
263	0	0.0105	0.05	122	58.9714	102.63	57.9714	120769	15575.4	2	0	29	1971	10000
263	1	0.0085	0.038	140	70.0476	102.63	69.0476	143843	18551.3	2	0	0	2000	10000
264	0	0.0115	0.041	123	58.2861	134.283	57.2861	119341	20138.1	0	2	26	1972	10000
264	1	0.008	0.04	142	67.853	134.283	66.853	139271	23501.2	0	0	0	2000	10000
265	0	0.0095	0.0405	122	56.7956	128.092	55.7956	116236	18709.9	1	0	31	1969	10000
265	1	0.0085	0.033	139	68.3954	128.092	67.3954	140401	22599.6	1	0	0	2000	10000
266	0	0.006	0.029	119	54.5111	139.65	53.5111	111477	19563	1	0	28	1972	10000
266	1	0.0085	0.0315	143	70.5891	139.65	69.5891	144971	25440.8	1	0	0	2000	10000
267	0	0.0095	0.0365	120	55.5286	148.631	54.5286	113596	21216.9	2	0	23	1977	10000
267	1	0.0135	0.037	138	68.9756	148.631	67.9756	141610	26449.1	2	0	0	2000	10000
268	0	0.013	0.0355	120	56.978	140.475	55.978	116616	20585.8	1	0	23	1977	10000
268	1	0.011	0.0395	141	69.188	140.475	68.188	142052	25076	1	0	0	2000	10000
269	0	0.009	0.0315	118	55.3101	138.263	54.3101	113141	19657.9	2	0	18	1982	10000
269	1	0.0085	0.04	141	67.2139	138.263	66.2139	137940	23966.5	2	0	0	2000	10000
270	0	0.01	0.0415	121	54.9806	150.495	53.9806	112455	21267.2	0	1	23	1976	10000
270	1	0.0095	0.036	141	65.9973	150.495	64.9973	135405	25607.6	0	0	0	2000	10000
271	0	0.0065	0.0345	119	54.843	130.689	53.843	112168	18421.1	2	0	24	1976	10000
271	1	0.0085	0.041	140	64.8829	130.689	63.8829	133084	21856.1	2	0	0	2000	10000
272	0	0.0065	0.0385	121	53.0522	130.527	52.0522	108437	17786.4	0	0	23	1977	10000
272	1	0.0055	0.042	141	67.3418	130.527	66.3418	138206	22669.3	0	0	0	2000	10000
273	0	0.0115	0.0375	120	53.0979	150.097	52.0979	108533	20471.2	0	0	21	1979	10000
273	1	0.012	0.0445	146	68.5571	150.097	67.5571	140738	26545.7	0	0	0	2000	10000
274	0	0.0095	0.038	117	51.9892	127.001	50.9892	106223	16952.6	0	0	14	1986	10000
274	1	0.011	0.0305	143	65.2034	127.001	64.2034	133751	21346	0	0	0	2000	10000
275	0	0.006	0.041	118	49.9719	149.808	48.9719	102020	19205.8	2	0	18	1982	10000
275	1	0.01	0.0335	139	66.8757	149.808	65.8757	137235	25835.1	2	0	0	2000	10000
276	0	0.0075	0.033	119	49.9451	141.087	48.9451	101965	18077.9	2	0	13	1987	10000
276	1	0.006	0.033	137	66.9865	141.087	65.9865	137466	24372.1	2	0	0	2000	10000
277	0	0.0075	0.0425	116	49.9264	150.322	48.9264	101926	19253.7	0	0	6	1994	10000
277	1	0.005	0.033	138	68.1315	150.322	67.1315	139851	26417.9	0	0	0	2000	10000
278	0	0.0085	0.0445	118	49.5169	144.649	48.5169	101073	18372.1	0	0	7	1993	10000
278	1	0.0095	0.0315	134	68.6265	144.649	67.6265	140883	25608.4	0	0	0	2000	10000
279	0	0.0045	0.037	118	47.3914	139.655	46.3914	96644.6	16960.7	0	0	7	1993	10000
279	1	0.0065	0.036	135	66.8986	139.655	65.8986	137283	24092.5	0	0	0	2000	10000
280	0	0.009	0.035	116	47.83	116.47	46.83	97558.4	14278.7	1	0	7	1993	10000
280	1	0.0095	0.0415	135	66.5762	116.47	65.5762	136611	19994.5	1	0	0	2000	10000
281	0	0.012	0.041	113	46.4684	146.864	45.4684	94721.8	17481.4	0	0	7	1993	10000
281	1	0.01	0.033	135	69.6706	146.864	68.6706	143058	26402	0	0	0	2000	10000
282	0	0.0085	0.04	114	46.2473	153.96	45.2473	94261.2	18236.9	0	0	5	1995	10000
282	1	0.0075	0.0445	134	68.1083	153.96	67.1083	139803	27047.9	0	0	0	2000	10000
283	0	0.008	0.0395	114	46.0548	118.657	45.0548	93860.2	13995.4	2	0	4	1996	10000
283	1	0.009	0.0295	136	66.4055	118.657	65.4055	136256	20316.9	2	0	0	2000	10000
284	0	0.0115	0.035	117	47.8512	122.015	46.8512	97602.5	14965.2	0	0	3	1997	10000
284	1	0.0095	0.0285	138	70.8403	122.015	69.8403	145495	22308.4	0	0	0	2000	10000
285	0	0.0105	0.0405	118	50.0629	121.339	49.0629	102210	15584.9	1	0	11	1989	10000
285	1	0.0135	0.03	139	67.0045	121.339	66.0045	137503	20966.4	1	0	0	2000	10000
286	0	0.012	0.0475	117	49.6894	133.508	48.6894	101432	17017.4	0	0	13	1987	10000
286	1	0.0095	0.0315	134	65.5872	133.508	64.5872	134551	22573.8	0	0	0	2000	10000
287	0	0.011	0.043	115	49.8706	144.6	48.8706	101810	18499.8	2	0	11	1989	10000
287	1	0.0125	0.0375	135	61.4189	144.6	60.4189	125867	22871.4	2	0	0	2000	10000
288	0	0.009	0.0375	117	51.9524	152.504	50.9524	106146	20342.2	0	0	8	1992	10000
288	1	0.0095	0.032	135	62.0636	152.504	61.0636	127210	24378.9	0	0	0	2000	10000
289	0	0.006	0.0425	116	50.7038	150.414	49.7038	103545	19571.7	0	0	11	1989	10000
289	1	0.007	0.036	133	59.9547	150.414	58.9547	122817	23214.4	0	0	0	2000	10000
290	0	0.007	0.032	110	49.2341	147.921	48.2341	100483	18678.1	1	0	20	1980	10000
