#Gen	m	ibd	hibd	ko	ke	s2	thke	Nke	Nbke	lethal	hoDel	he	hoDom	Nobs
29	1	0.0075	0.0185	508	266.064	144.026	265.064	552192	99940.7	0	0	0	2000	10000
30	0	0.0095	0.0215	504	253.646	132.333	252.646	526324	87524.8	0	0	16	1984	10000
30	1	0.01	0.017	506	263.063	132.333	262.063	545941	90787	0	0	0	2000	10000
31	0	0.0065	0.022	497	249.953	136.408	248.953	518630	88901	0	0	15	1985	10000
31	1	0.005	0.0205	498	257.409	136.408	256.409	534162	91563.4	0	0	0	2000	10000
32	0	0.008	0.0215	477	238.678	137.365	237.678	495141	85470.3	1	0	11	1989	10000
32	1	0.012	0.021	495	250.125	137.365	249.125	518988	89586.8	1	0	0	2000	10000
33	0	0.005	0.022	470	232.362	130.728	231.362	481984	79179.2	0	0	9	1991	10000
33	1	0.0085	0.024	489	237.262	130.728	236.262	492192	80856.1	0	0	0	2000	10000
34	0	0.0075	0.0195	464	220.179	147.408	219.179	456604	84580.5	1	0	9	1991	10000
34	1	0.008	0.0165	474	235.474	147.408	234.474	488467	90482.7	1	0	0	2000	10000
35	0	0.0095	0.019	471	225.111	162.341	224.111	466878	95244.7	1	0	7	1993	10000
35	1	0.008	0.0265	471	228.643	162.341	227.643	474237	96745.8	1	0	0	2000	10000
36	0	0.011	0.022	454	224.102	159.114	223.102	464776	92931.2	0	0	5	1995	10000
36	1	0.007	0.0195	461	228.46	159.114	227.46	473856	94746.6	0	0	0	2000	10000
37	0	0.0085	0.015	459	223.295	139.506	222.295	463095	81184.5	0	0	2	1998	10000
37	1	0.0095	0.023	453	221.976	139.506	220.976	460346	80702.5	0	0	0	2000	10000
38	0	0.0135	0.0265	461	218.992	138.141	217.992	454131	78834.1	1	0	1	1999	10000
38	1	0.0145	0.028	456	214.852	138.141	213.852	445505	77336.7	1	0	0	2000	10000
39	0	0.0085	0.013	442	220.665	120.927	219.665	457617	69540.1	0	0	5	1995	10000
39	1	0.009	0.0275	442	204.766	120.927	203.766	424494	64506.8	0	0	0	2000	10000
40	0	0.0065	0.0175	435	211.082	135.478	210.082	437652	74508.7	0	0	0	2000	10000
40	1	0.009	0.0215	444	206.223	135.478	205.223	427529	72785.4	0	0	0	2000	10000
41	0	0.0085	0.0255	430	209.699	155.416	208.699	434770	84911.5	0	0	0	2000	10000
41	1	0.0095	0.028	437	207.555	155.416	206.555	430305	84039.3	0	0	0	2000	10000
42	0	0.009	0.023	432	214.012	140.828	213.012	443757	78531.4	0	0	0	2000	10000
42	1	0.009	0.022	440	200.045	140.828	199.045	414659	73382	0	0	0	2000	10000
43	0	0.0085	0.0225	427	210.976	153.21	209.976	437431	84218.5	0	0	1	1999	10000
43	1	0.0085	0.031	438	190.549	153.21	189.549	394877	76025.4	0	0	0	2000	10000
44	0	0.0105	0.023	414	206.281	146.099	205.281	427651	78514.1	0	0	2	1998	10000
44	1	0.009	0.023	430	188.715	146.099	187.715	391056	71795.5	0	0	0	2000	10000
45	0	0.0085	0.022	402	210.465	120.519	209.465	436368	66087.3	0	0	2	1998	10000
45	1	0.0075	0.0165	423	185.611	120.519	184.611	384589	58245.5	0	0	0	2000	10000
46	0	0.011	0.0215	390	200.441	136.203	199.441	415484	71113.4	0	0	2	1998	10000
46	1	0.007	0.0235	419	183.752	136.203	182.752	380717	65162.7	0	0	0	2000	10000
47	0	0.0075	0.0265	382	195.131	133.608	194.131	404423	67901.6	0	0	2	1998	10000
47	1	0.006	0.027	416	187.196	133.608	186.196	387891	65125.9	0	0	0	2000	10000
48	0	0.009	0.0255	381	195.68	136.574	194.68	405567	69604.9	0	0	5	1995	10000
48	1	0.0065	0.0195	408	186.103	136.574	185.103	385614	66180.5	0	0	0	2000	10000
49	0	0.0095	0.0265	378	196.986	138.74	195.986	408287	71183.1	0	0	6	1994	10000
49	1	0.0055	0.028	398	183.075	138.74	182.075	379306	66130.5	0	0	0	2000	10000
